,season,week,date,awayteam,hometeam,stadium,location,winner,proba_away,proba_home
83,2022,3,2022-09-25,Raiders,Titans,Nissan Stadium,"Nashville, TN",0,0.597,0.403
84,2022,3,2022-09-25,Chiefs,Colts,Lucas Oil Stadium,"Indianapolis, IN",0,0.7309,0.2691
85,2022,3,2022-09-25,Bills,Dolphins,Hard Rock Stadium,"Miami Gardens, FL",0,0.597,0.403
86,2022,3,2022-09-25,Lions,Vikings,U.S. Bank Stadium,"Minneapolis, MN",0,0.5836,0.4164
87,2022,3,2022-09-25,Ravens,Patriots,Gillette Stadium,"Foxboro, MA",0,0.5998,0.4002
88,2022,3,2022-09-25,Bengals,Jets,MetLife Stadium,"East Rutherford, NJ",1,0.4665,0.5335
89,2022,3,2022-09-25,Eagles,Washington,FedExField,"Landover, MD",0,0.597,0.403
90,2022,3,2022-09-25,Saints,Panthers,Bank of America Stadium,"Charlotte, NC",0,0.7692,0.2308
91,2022,3,2022-09-25,Jaguars,Chargers,SoFi Stadium,"Inglewood, CA",1,0.4555,0.5445
92,2022,3,2022-09-25,Rams,Cardinals,State Farm Stadium,"Glendale, AZ",0,0.6688,0.3312
93,2022,3,2022-09-25,Falcons,Seahawks,Lumen Field,"Seattle, WA",0,0.597,0.403
94,2022,3,2022-09-25,Packers,Buccaneers,Raymond James Stadium,"Tampa, FL",0,0.597,0.403
95,2022,3,2022-09-25,49ers,Broncos,Empower Field at Mile High,"Denver, CO",0,0.597,0.403
96,2022,8,2022-10-30,Bears,Cowboys,AT&T Stadium,"Arlington, TX",0,0.597,0.403
97,2022,8,2022-10-30,Dolphins,Lions,Ford Field,"Detroit, MI",0,0.597,0.403
98,2022,8,2022-10-30,Cardinals,Vikings,U.S. Bank Stadium,"Minneapolis, MN",0,0.597,0.403
99,2022,8,2022-10-30,Raiders,Saints,Caesars Superdome,"New Orleans, LA",0,0.6059,0.3941
100,2022,8,2022-10-30,Patriots,Jets,MetLife Stadium,"East Rutherford, NJ",0,0.597,0.403
101,2022,8,2022-10-30,Steelers,Eagles,Lincoln Financial Field,"Philadelphia, PA",0,0.597,0.403
