,season,week,awayteam,hometeam,awayscore,homescore,idgame,score_abs,winner_home,winner_away,winner_team,concat,home_coach,away_coach,location,weather_type,temperature,humidity,wind
690,2019,17,Bears,Vikings,21,19,401127991,-2,0,1,Bears,2019_17_Vikings_Bears,Mike Zimmer,Matt Nagy,Home,indoor,68,70,5
691,2019,17,Dolphins,Patriots,27,24,401127909,-3,0,1,Dolphins,2019_17_Patriots_Dolphins,Bill Belichick,Brian Flores,Home,cloudy,43,41,2
692,2019,17,Falcons,Buccaneers,28,22,401128034,-6,0,1,Falcons,2019_17_Buccaneers_Falcons,Bruce Arians,Dan Quinn,Home,cloudy,78,77,12
693,2019,5,Buccaneers,Saints,24,31,401127965,7,1,0,Saints,2019_05_Saints_Buccaneers,Sean Payton,Bruce Arians,Home,sunny,85,77,7
694,2019,5,Vikings,Giants,28,10,401127971,-18,0,1,Vikings,2019_05_Giants_Vikings,Pat Shurmur,Mike Zimmer,Home,cloudy,66,73,10
695,2019,5,Jets,Eagles,6,31,401128006,25,1,0,Eagles,2019_05_Eagles_Jets,Doug Pederson,Adam Gase,Home,cloudy,68,68,10
696,2019,8,Raiders,Texans,24,27,401128043,3,1,0,Texans,2019_08_Texans_Raiders,Bill O'Brien,Jon Gruden,Home,sunny,76,47,1
697,2019,8,Browns,Patriots,13,27,401127895,14,1,0,Patriots,2019_08_Patriots_Browns,Bill Belichick,Freddie Kitchens,Home,rain,49,91,11
698,2019,8,Panthers,49ers,13,51,401128050,38,1,0,49ers,2019_08_49ers_Panthers,Kyle Shanahan,Ron Rivera,Home,sunny,66,20,19
699,2019,4,Browns,Ravens,40,25,401128018,-15,0,1,Browns,2019_04_Ravens_Browns,John Harbaugh,Freddie Kitchens,Home,cloudy,83,57,8
700,2019,17,Washington,Cowboys,16,47,401127980,31,1,0,Cowboys,2019_17_Cowboys_Washington,Jason Garrett,Bill Callahan,Home,cloudy,68,70,5
701,2019,4,Chargers,Dolphins,30,10,401128055,-20,0,1,Chargers,2019_04_Dolphins_Chargers,Brian Flores,Anthony Lynn,Home,cloudy,88,53,15
702,2019,4,Jaguars,Broncos,26,24,401128097,-2,0,1,Jaguars,2019_04_Broncos_Jaguars,Vic Fangio,Doug Marrone,Home,sunny,87,11,24
703,2019,8,Eagles,Bills,31,13,401128037,-18,0,1,Eagles,2019_08_Bills_Eagles,Sean McDermott,Doug Pederson,Home,rain,54,87,23
704,2019,7,Dolphins,Bills,21,31,401127942,10,1,0,Bills,2019_07_Bills_Dolphins,Sean McDermott,Brian Flores,Home,sunny,65,54,7
705,2019,7,Rams,Falcons,37,10,401127940,-27,0,1,Rams,2019_07_Falcons_Rams,Dan Quinn,Sean McVay,Home,cloudy,66,79,5
706,2019,7,Chiefs,Broncos,30,6,401127902,-24,0,1,Chiefs,2019_07_Broncos_Chiefs,Vic Fangio,Andy Reid,Home,cloudy,75,7,6
707,2019,6,Lions,Packers,22,23,401128132,1,1,0,Packers,2019_06_Packers_Lions,Matt LaFleur,Matt Patricia,Home,cloudy,43,73,5
708,2019,6,Steelers,Chargers,24,17,401128131,-7,0,1,Steelers,2019_06_Chargers_Steelers,Anthony Lynn,Mike Tomlin,Home,cloudy,71,61,9
709,2019,6,Cowboys,Jets,22,24,401128130,2,1,0,Jets,2019_06_Jets_Cowboys,Adam Gase,Jason Garrett,Home,fair,66,38,7
710,2019,6,Titans,Broncos,0,16,401128129,16,1,0,Broncos,2019_06_Broncos_Titans,Vic Fangio,Mike Vrabel,Home,sunny,69,9,7
711,2019,6,Falcons,Cardinals,33,34,401128126,1,1,0,Cardinals,2019_06_Cardinals_Falcons,Kliff Kingsbury,Dan Quinn,Home,cloudy,68,70,5
712,2019,6,49ers,Rams,20,7,401128128,-13,0,1,49ers,2019_06_Rams_49ers,Sean McVay,Kyle Shanahan,Home,sunny,77,42,2
713,2019,6,Bengals,Ravens,17,23,401128105,6,1,0,Ravens,2019_06_Ravens_Bengals,John Harbaugh,Zac Taylor,Home,cloudy,64,43,7
714,2019,6,Saints,Jaguars,13,6,401128116,-7,0,1,Saints,2019_06_Jaguars_Saints,Doug Marrone,Sean Payton,Home,sunny,81,56,3
715,2019,6,Eagles,Vikings,20,38,401128123,18,1,0,Vikings,2019_06_Vikings_Eagles,Mike Zimmer,Doug Pederson,Home,indoor,68,70,5
716,2019,6,Washington,Dolphins,17,16,401128121,-1,0,1,Washington,2019_06_Dolphins_Washington,Brian Flores,Bill Callahan,Home,cloudy,84,66,13
717,2019,6,Texans,Chiefs,31,24,401128119,-7,0,1,Texans,2019_06_Chiefs_Texans,Andy Reid,Bill O'Brien,Home,sunny,56,47,2
718,2019,6,Seahawks,Browns,32,28,401128111,-4,0,1,Seahawks,2019_06_Browns_Seahawks,Freddie Kitchens,Pete Carroll,Home,sunny,58,38,20
719,2019,6,Panthers,Buccaneers,37,26,401128096,-11,0,1,Panthers,2019_06_Buccaneers_Panthers,Bruce Arians,Ron Rivera,Neutral,cloudy,61,86,14
720,2019,6,Giants,Patriots,14,35,401127917,21,1,0,Patriots,2019_06_Patriots_Giants,Bill Belichick,Pat Shurmur,Home,cloudy,54,61,13
721,2019,7,Jaguars,Bengals,27,17,401127945,-10,0,1,Jaguars,2019_07_Bengals_Jaguars,Zac Taylor,Doug Marrone,Home,sunny,7,63,2
722,2019,8,Chargers,Bears,17,16,401128039,-1,0,1,Chargers,2019_08_Bears_Chargers,Matt Nagy,Anthony Lynn,Home,cloudy,52,59,9
