,week,awayteam,hometeam,pred_winner_team,real_winner,team,abbr,moneyline,money_bet,good_predict,pocket
103,7,Panthers,Giants,Panthers,Giants,CAR,CAR,-155.0,100.0,No,-100.0
104,7,Saints,Seahawks,Saints,Saints,NO,NO,-225.0,100.0,Yes,144.44444444444446
105,7,Texans,Cardinals,Cardinals,Cardinals,ARI,ARI,-1485.0,100.0,Yes,106.73400673400674
106,7,Washington,Packers,Packers,Packers,GB,GB,-375.0,100.0,Yes,126.66666666666667
107,8,49ers,Bears,49ers,49ers,SF,SF,-200.0,100.0,Yes,150.0
108,8,Bengals,Jets,Bengals,Jets,CIN,CIN,-530.0,100.0,No,-100.0
109,8,Buccaneers,Saints,Saints,Saints,NO,NO,185.0,100.0,Yes,285.0
110,8,Cowboys,Vikings,Cowboys,Cowboys,DAL,DAL,120.0,100.0,Yes,220.0
111,8,Dolphins,Bills,Bills,Bills,BUF,BUF,-885.0,100.0,Yes,111.29943502824858
112,8,Eagles,Lions,Eagles,Eagles,PHI,PHI,-180.0,100.0,Yes,155.55555555555554
113,8,Giants,Chiefs,Chiefs,Chiefs,KC,KC,-440.0,100.0,Yes,122.72727272727272
114,8,Jaguars,Seahawks,Seahawks,Seahawks,SEA,SEA,-180.0,100.0,Yes,155.55555555555554
115,8,Packers,Cardinals,Packers,Packers,GB,GB,235.0,100.0,Yes,335.0
116,8,Panthers,Falcons,Falcons,Panthers,ATL,ATL,-160.0,100.0,No,-100.0
117,8,Patriots,Chargers,Patriots,Patriots,NE,NE,180.0,100.0,Yes,280.0
118,8,Rams,Texans,Rams,Rams,LAR,LAR,-1015.0,100.0,Yes,109.85221674876847
119,8,Steelers,Browns,Browns,Steelers,CLE,CLE,-190.0,100.0,No,-100.0
120,8,Titans,Colts,Titans,Titans,TEN,TEN,110.0,100.0,Yes,210.0
121,8,Washington,Broncos,Broncos,Broncos,DEN,DEN,-165.0,100.0,Yes,160.60606060606062
122,9,Bears,Steelers,Steelers,Steelers,PIT,PIT,-275.0,100.0,Yes,136.36363636363637
123,9,Bills,Jaguars,Bills,Jaguars,BUF,BUF,-1000.0,100.0,No,-100.0
124,9,Broncos,Cowboys,Cowboys,Broncos,DAL,DAL,-465.0,100.0,No,-100.0
125,9,Browns,Bengals,Bengals,Browns,CIN,CIN,-135.0,100.0,No,-100.0
126,9,Cardinals,49ers,Cardinals,Cardinals,ARI,ARI,105.0,100.0,Yes,205.0
127,9,Chargers,Eagles,Eagles,Chargers,PHI,PHI,110.0,100.0,No,-100.0
128,9,Falcons,Saints,Saints,Falcons,NO,NO,-285.0,100.0,No,-100.0
129,9,Jets,Colts,Colts,Colts,IND,IND,-500.0,100.0,Yes,120.0
130,9,Packers,Chiefs,Chiefs,Chiefs,KC,KC,-350.0,100.0,Yes,128.57142857142858
131,9,Patriots,Panthers,Patriots,Patriots,NE,NE,-185.0,100.0,Yes,154.05405405405406
132,9,Raiders,Giants,Raiders,Giants,LV,LV,-165.0,100.0,No,-100.0
133,9,Texans,Dolphins,Dolphins,Dolphins,MIA,MIA,-240.0,100.0,Yes,141.66666666666666
134,9,Titans,Rams,Rams,Titans,LAR,LAR,-355.0,100.0,No,-100.0
135,9,Vikings,Ravens,Ravens,Ravens,BAL,BAL,-255.0,100.0,Yes,139.2156862745098
136,10,Bills,Jets,Bills,Bills,BUF,BUF,-645.0,100.0,Yes,115.50387596899225
