,season,week,date,awayteam,hometeam,stadium,location,winner,proba_away,proba_home
126,2022,9,2022-11-06,Panthers,Bengals,Paycor Stadium,"Cincinnati, OH",0,0.6269,0.3731
127,2022,9,2022-11-06,Packers,Lions,Ford Field,"Detroit, MI",0,0.6742,0.3258
128,2022,9,2022-11-06,Colts,Patriots,Gillette Stadium,"Foxboro, MA",1,0.2635,0.7365
129,2022,9,2022-11-06,Bills,Jets,MetLife Stadium,"East Rutherford, NJ",0,0.7108,0.2892
130,2022,9,2022-11-06,Vikings,Washington,FedExField,"Landover, MD",0,0.6346,0.3654
131,2022,9,2022-11-06,Raiders,Jaguars,TIAA Bank Field,"Jacksonville, FL",0,0.6697,0.3303
132,2022,9,2022-11-06,Seahawks,Cardinals,State Farm Stadium,"Glendale, AZ",0,0.7073,0.2927
133,2022,9,2022-11-06,Rams,Buccaneers,Raymond James Stadium,"Tampa, FL",0,0.5926,0.4074
134,2022,9,2022-11-06,Titans,Chiefs,GEHA Field at Arrowhead Stadium,"Kansas City, MO",1,0.3365,0.6635
135,2022,9,2022-11-07,Ravens,Saints,Caesars Superdome,"New Orleans, LA",1,0.4078,0.5922
136,2022,10,2022-11-10,Falcons,Panthers,Bank of America Stadium,"Charlotte, NC",0,0.5714,0.4286
137,2022,10,2022-11-13,Seahawks,Buccaneers,Allianz Arena,Munich,1,0.4815,0.5185
138,2022,10,2022-11-13,Vikings,Bills,Highmark Stadium,"Orchard Park, NY",1,0.4328,0.5672
139,2022,10,2022-11-13,Lions,Bears,Soldier Field,"Chicago, IL",1,0.3599,0.6401
140,2022,10,2022-11-13,Broncos,Titans,Nissan Stadium,"Nashville, TN",1,0.1903,0.8097
141,2022,10,2022-11-13,Jaguars,Chiefs,GEHA Field at Arrowhead Stadium,"Kansas City, MO",1,0.1294,0.8706
142,2022,10,2022-11-13,Browns,Dolphins,Hard Rock Stadium,"Miami Gardens, FL",1,0.3274,0.6726
143,2022,10,2022-11-13,Texans,Giants,MetLife Stadium,"East Rutherford, NJ",0,0.674,0.326
144,2022,10,2022-11-13,Saints,Steelers,Acrisure Stadium,"Pittsburgh, PA",0,0.5498,0.4502
145,2022,10,2022-11-13,Colts,Raiders,Allegiant Stadium,"Las Vegas, NV",1,0.4621,0.5379
146,2022,10,2022-11-13,Cowboys,Packers,Lambeau Field,"Green Bay, WI",1,0.2549,0.7451
147,2022,10,2022-11-13,Cardinals,Rams,SoFi Stadium,"Inglewood, CA",1,0.3455,0.6545
148,2022,10,2022-11-13,Chargers,49ers,Levi's Stadium,"Santa Clara, CA",0,0.5194,0.4806
149,2022,10,2022-11-14,Washington,Eagles,Lincoln Financial Field,"Philadelphia, PA",1,0.2804,0.7196
150,2022,11,2022-11-17,Titans,Packers,Lambeau Field,"Green Bay, WI",1,0.2819,0.7181
