,idgame,team,pass_completion,pass_yds,pass_avg,pass_td,pass_int,sacks,qbr,rtg,rush_car,rush_yds,rush_avg,rush_td,rush_long,receptions,rec_yds,rec_avg,rec_td,rec_long,rec_tgs,fumbles,fumbles_lost,fumbles_rec,defense_tot,defense_solo,defense_sacks,defense_tfl,defense_pd,defense_qb_hits,defense_td,interceptions,interceptions_yds,interceptions_td,kicks_return_no,kicks_return_yds,kicks_return_avg,kicks_return_long,kicks_return_td,punt_return_no,punt_return_yds,punt_return_avg,punt_return_long,punt_return_td,kicking_pct,kicking_long,kicking_pts,punting_no,punting_yds,punting_avg,punting_tb,punting_in_20,punting_long,date,delta_match
2162,401326464,Bears,0.5862068965517241,291.0,10.0,1.0,1.0,0.2307692307692307,0.2307692307692307,89.9,26.0,136.0,28.7,1.0,52.0,17.0,291.0,131.7,1.0,173.0,29.0,1.0,1.0,1.0,78.0,53.0,4.0,5.0,2.0,5.0,1.0,0.0,0.0,0.0,6.0,135.0,22.5,32.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,30.0,9.0,5.0,234.0,46.8,0.0,2.0,57.0,2021-11-09 01:15:00+00:00,8 days 08:15:00
2163,401326464,Steelers,0.7,205.0,6.8,2.0,0.0,0.1333333333333333,0.1333333333333333,111.1,32.0,105.0,24.3,1.0,53.0,21.0,205.0,95.1,2.0,130.0,27.0,1.0,1.0,1.0,57.0,41.0,3.0,3.0,4.0,8.0,0.0,1.0,0.0,0.0,2.0,40.0,20.0,21.0,0.0,4.0,28.0,7.0,14.0,0.0,100.0,54.0,11.0,5.0,196.0,39.2,1.0,2.0,46.0,2021-11-09 01:15:00+00:00,8 days 08:15:00
2164,401326465,Dolphins,1.0936454849498327,314.0,19.0,0.0,0.0,1.284313725490196,1.284313725490196,174.2,22.0,60.0,18.7,1.0,34.0,19.0,314.0,117.4,0.0,220.0,34.0,2.0,0.0,3.0,66.0,47.0,4.0,5.0,7.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,10.0,10.0,0.0,100.0,31.0,10.0,8.0,348.0,43.5,0.0,2.0,52.0,2021-11-12 01:20:00+00:00,4 days 07:20:00
2165,401326465,Ravens,0.6046511627906976,238.0,5.5,1.0,1.0,0.1428571428571428,0.1428571428571428,73.6,23.0,94.0,27.1,0.0,43.0,26.0,238.0,51.7,1.0,83.0,41.0,2.0,1.0,1.0,53.0,39.0,4.0,4.0,5.0,13.0,0.0,0.0,0.0,0.0,1.0,21.0,21.0,21.0,0.0,1.0,9.0,9.0,9.0,0.0,50.0,46.0,4.0,8.0,321.0,40.1,0.0,4.0,53.0,2021-11-12 01:20:00+00:00,4 days 07:20:00
2166,401326466,Cowboys,2.774193548387097,317.0,19.2,2.0,0.0,0.0,0.0,301.5,37.0,114.0,22.5,3.0,44.0,28.0,317.0,108.3,2.0,163.0,33.0,1.0,1.0,0.0,56.0,28.0,2.0,3.0,10.0,5.0,1.0,3.0,4.0,0.0,1.0,29.0,29.0,29.0,0.0,2.0,19.0,9.5,16.0,0.0,0.0,0.0,5.0,4.0,190.0,47.5,0.0,0.0,60.0,2021-11-14 18:00:00+00:00,7 days 00:00:00
2167,401326466,Falcons,0.5952380952380951,131.0,7.899999999999999,0.0,3.0,0.1,0.1,21.4,24.0,103.0,19.5,0.0,43.0,10.0,131.0,75.0,0.0,80.0,27.0,1.0,0.0,2.0,81.0,48.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,3.7,6.0,0.0,100.0,35.0,3.0,4.0,231.0,57.8,1.0,1.0,66.0,2021-11-14 18:00:00+00:00,7 days 00:00:00
2168,401326467,Colts,0.6470588235294118,180.0,5.3,0.0,0.0,0.0833333333333333,0.0833333333333333,78.1,27.0,127.0,11.2,1.0,45.0,22.0,180.0,81.2,0.0,109.0,33.0,0.0,0.0,1.0,65.0,46.0,3.0,3.0,5.0,10.0,1.0,0.0,0.0,0.0,3.0,72.0,49.0,53.0,0.0,1.0,11.0,11.0,11.0,0.0,100.0,37.0,11.0,7.0,319.0,45.6,0.0,1.0,55.0,2021-11-14 18:00:00+00:00,9 days 17:40:00
2169,401326467,Jaguars,0.4571428571428571,162.0,4.6,0.0,0.0,0.3,0.3,59.5,24.0,179.0,42.7,2.0,106.0,16.0,162.0,60.7,0.0,80.0,35.0,2.0,1.0,1.0,57.0,45.0,1.0,4.0,3.0,8.0,0.0,0.0,0.0,0.0,5.0,101.0,20.2,25.0,0.0,4.0,30.0,7.5,10.0,0.0,50.0,56.0,3.0,7.0,332.0,47.4,0.0,5.0,59.0,2021-11-14 18:00:00+00:00,7 days 00:00:00
2170,401326468,Browns,1.1904761904761905,154.0,10.3,1.0,1.0,0.2755417956656346,0.2755417956656346,142.1,20.0,99.0,5.2,0.0,24.0,19.0,154.0,57.1,1.0,80.0,31.0,2.0,0.0,1.0,66.0,50.0,2.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,8.0,161.0,61.2,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,189.0,47.3,0.0,2.0,59.0,2021-11-14 18:00:00+00:00,7 days 00:00:00
2171,401326468,Patriots,1.8260869565217392,283.0,36.9,4.0,0.0,0.1333333333333333,0.1333333333333333,300.4,34.0,184.0,30.8,2.0,59.0,22.0,283.0,98.8,4.0,158.0,25.0,0.0,0.0,0.0,71.0,47.0,5.0,4.0,5.0,9.0,0.0,1.0,37.0,0.0,2.0,39.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,38.0,9.0,1.0,66.0,66.0,0.0,1.0,66.0,2021-11-14 18:00:00+00:00,7 days 00:00:00
