,idgame,date,stade,location,attendance,capacity,people,line,over_under,attendance_info,month,dayofmonth,dayofweek,hour,minute
996,401220283,2020-12-13 21:25:00+00:00,Ford Field,"Detroit, MI",,64500,,Line: GB -7.5,Over/Under: 55.5,0,12,13,6,21,25
997,401220121,2020-12-14 01:20:00+00:00,Highmark Stadium,"Orchard Park, NY",,71621,,Line: BUF -2.0,Over/Under: 48.5,0,12,14,0,1,20
998,401220356,2020-12-13 21:25:00+00:00,State Farm Stadium,"Glendale, AZ",,65000,,Line: SF -3.0,Over/Under: 43.5,0,12,13,6,21,25
999,401220265,2020-12-13 21:25:00+00:00,Lincoln Financial Field,"Philadelphia, PA",,69879,,Line: NO -7.5,Over/Under: 42.0,0,12,13,6,21,25
1000,401326538,2021-12-19 18:00:00+00:00,Highmark Stadium,"Orchard Park, NY",65398.0,71621,91.0,Line: BUF -14.5,Over/Under: 44.0,1,12,19,6,18,0
1001,401326540,2021-12-19 01:15:00+00:00,Lucas Oil Stadium,"Indianapolis, IN",66391.0,63000,100.0,Line: IND -1.0,Over/Under: 46.5,1,12,19,6,1,15
1002,401128013,2019-12-10 01:15:00+00:00,Lincoln Financial Field,"Philadelphia, PA",69796.0,69879,100.0,,,1,12,10,1,1,15
1003,401220162,2020-12-15 01:15:00+00:00,FirstEnergy Stadium,"Cleveland, OH",11974.0,67431,18.0,Line: BAL -3.0,Over/Under: 45.5,1,12,15,1,1,15
1004,401326546,2021-12-19 18:00:00+00:00,MetLife Stadium,"East Rutherford, NJ",77413.0,82500,94.0,Line: DAL -11.5,Over/Under: 44.5,1,12,19,6,18,0
1005,401326545,2021-12-19 18:00:00+00:00,TIAA Bank Field,"Jacksonville, FL",60252.0,67858,89.0,Line: JAX -6.0,Over/Under: 39.5,1,12,19,6,18,0
1006,401326541,2021-12-19 18:00:00+00:00,Hard Rock Stadium,"Miami Gardens, FL",66035.0,64767,100.0,Line: MIA -10.0,Over/Under: 41.0,1,12,19,6,18,0
1007,401326547,2021-12-19 18:00:00+00:00,Acrisure Stadium,"Pittsburgh, PA",59521.0,68400,87.0,Line: PIT -1.5,Over/Under: 42.5,1,12,19,6,18,0
1008,401326544,2021-12-19 18:00:00+00:00,Ford Field,"Detroit, MI",45211.0,64500,70.0,Line: ARI -13.0,Over/Under: 47.0,1,12,19,6,18,0
1009,401326539,2021-12-20 22:00:00+00:00,FirstEnergy Stadium,"Cleveland, OH",67431.0,67431,100.0,Line: LV -3.0,Over/Under: 41.5,1,12,20,0,22,0
1010,401326548,2021-12-19 21:05:00+00:00,Empower Field at Mile High,"Denver, CO",76134.0,76125,100.0,Line: DEN -3.0,Over/Under: 44.0,1,12,19,6,21,5
1011,401326549,2021-12-19 21:05:00+00:00,Levi's Stadium,"Santa Clara, CA",71650.0,68500,100.0,Line: SF -9.0,Over/Under: 48.0,1,12,19,6,21,5
1012,400951596,2017-12-23 21:30:00+00:00,M&T Bank Stadium,"Baltimore, MD",70590.0,70745,100.0,,,1,12,23,5,21,30
1013,401326543,2021-12-19 21:25:00+00:00,M&T Bank Stadium,"Baltimore, MD",70815.0,70745,100.0,Line: GB -9.0,Over/Under: 45.0,1,12,19,6,21,25
1014,401326551,2021-12-20 01:20:00+00:00,Raymond James Stadium,"Tampa, FL",65744.0,65828,100.0,Line: TB -11.5,Over/Under: 45.5,1,12,20,0,1,20
1015,401326552,2021-12-21 01:15:00+00:00,Soldier Field,"Chicago, IL",60082.0,61500,98.0,Line: MIN -7.0,Over/Under: 47.5,1,12,21,1,1,15
1016,400951617,2017-12-24 18:00:00+00:00,Soldier Field,"Chicago, IL",58796.0,61500,96.0,,,1,12,24,6,18,0
1017,400951621,2017-12-24 18:00:00+00:00,Paycor Stadium,"Cincinnati, OH",47732.0,65515,73.0,,,1,12,24,6,18,0
1018,400951625,2017-12-24 18:00:00+00:00,GEHA Field at Arrowhead Stadium,"Kansas City, MO",65325.0,72936,90.0,,,1,12,24,6,18,0
1019,400951637,2017-12-24 18:00:00+00:00,Caesars Superdome,"New Orleans, LA",73188.0,73000,100.0,,,1,12,24,6,18,0
1020,401326542,2021-12-22 00:00:00+00:00,Lincoln Financial Field,"Philadelphia, PA",69796.0,69879,100.0,Line: PHI -10.0,Over/Under: 39.5,1,12,22,2,0,0
1021,400951642,2017-12-24 18:00:00+00:00,MetLife Stadium,"East Rutherford, NJ",77562.0,82500,94.0,,,1,12,24,6,18,0
1022,400951631,2017-12-24 18:00:00+00:00,Gillette Stadium,"Foxboro, MA",65878.0,65878,100.0,,,1,12,24,6,18,0
1023,400951602,2017-12-24 01:30:00+00:00,Lambeau Field,"Green Bay, WI",78092.0,81041,96.0,,,1,12,24,6,1,30
1024,400951671,2017-12-24 18:00:00+00:00,FedExField,"Landover, MD",72889.0,67617,100.0,,,1,12,24,6,18,0
1025,400951613,2017-12-24 18:00:00+00:00,Bank of America Stadium,"Charlotte, NC",71463.0,73778,97.0,,,1,12,24,6,18,0
1026,400951667,2017-12-24 18:00:00+00:00,Nissan Stadium,"Nashville, TN",60097.0,69143,87.0,,,1,12,24,6,18,0
1027,400951682,2017-12-24 21:25:00+00:00,State Farm Stadium,"Glendale, AZ",63850.0,65000,98.0,,,1,12,24,6,21,25
1028,401220213,2020-12-19 21:30:00+00:00,Empower Field at Mile High,"Denver, CO",,76125,,Line: BUF -5.5,Over/Under: 48.5,0,12,19,5,21,30
1029,401220228,2020-12-18 01:20:00+00:00,Allegiant Stadium,"Las Vegas, NV",,65000,,Line: LV -3.0,Over/Under: 52.5,0,12,18,4,1,20
1030,401220294,2020-12-20 01:15:00+00:00,Lambeau Field,"Green Bay, WI",,81041,,Line: GB -9.0,Over/Under: 53.0,0,12,20,6,1,15
1031,400951719,2017-12-26 01:30:00+00:00,Lincoln Financial Field,"Philadelphia, PA",69596.0,69879,100.0,,,1,12,26,1,1,30
1032,400951714,2017-12-25 21:30:00+00:00,NRG Stadium,"Houston, TX",71842.0,71995,100.0,,,1,12,25,0,21,30
1033,401220308,2020-12-20 18:00:00+00:00,Mercedes-Benz Stadium,"Atlanta, GA",10703.0,75000,14.0,Line: TB -6.0,Over/Under: 49.5,1,12,20,6,18,0
1034,400951675,2017-12-24 21:05:00+00:00,Levi's Stadium,"Santa Clara, CA",70133.0,68500,100.0,,,1,12,24,6,21,5
1035,401220208,2020-12-20 18:00:00+00:00,Nissan Stadium,"Nashville, TN",13797.0,69143,20.0,Line: TEN -9.0,Over/Under: 54.0,1,12,20,6,18,0
1036,401128020,2019-12-13 01:20:00+00:00,M&T Bank Stadium,"Baltimore, MD",70545.0,70745,100.0,,,1,12,13,4,1,20
1037,400951709,2017-12-24 21:25:00+00:00,AT&T Stadium,"Arlington, TX",92150.0,100000,92.0,,,1,12,24,6,21,25
1038,401220186,2020-12-20 18:00:00+00:00,Lucas Oil Stadium,"Indianapolis, IN",9992.0,63000,16.0,Line: IND -7.5,Over/Under: 52.0,1,12,20,6,18,0
1039,401220123,2020-12-20 18:00:00+00:00,Hard Rock Stadium,"Miami Gardens, FL",13354.0,64767,21.0,Line: MIA -2.0,Over/Under: 40.0,1,12,20,6,18,0
1040,401128028,2019-12-15 18:00:00+00:00,Ford Field,"Detroit, MI",56515.0,64500,88.0,,,1,12,15,6,18,0
1041,401128031,2019-12-15 18:00:00+00:00,Lambeau Field,"Green Bay, WI",78266.0,81041,97.0,,,1,12,15,6,18,0
1042,401220246,2020-12-20 18:00:00+00:00,AT&T Stadium,"Arlington, TX",30092.0,100000,30.0,Line: SF -4.0,Over/Under: 45.5,1,12,20,6,18,0
1043,401220270,2020-12-20 18:00:00+00:00,FedExField,"Landover, MD",,67617,,Line: SEA -6.0,Over/Under: 44.0,0,12,20,6,18,0
1044,401127955,2019-12-15 18:00:00+00:00,Paycor Stadium,"Cincinnati, OH",57066.0,65515,87.0,,,1,12,15,6,18,0
1045,401128056,2019-12-15 18:00:00+00:00,GEHA Field at Arrowhead Stadium,"Kansas City, MO",73257.0,72936,100.0,,,1,12,15,6,18,0
1046,401220298,2020-12-20 18:00:00+00:00,U.S. Bank Stadium,"Minneapolis, MN",,66468,,Line: MIN -4.0,Over/Under: 47.0,0,12,20,6,18,0
1047,401128068,2019-12-15 18:00:00+00:00,Nissan Stadium,"Nashville, TN",65265.0,69143,94.0,,,1,12,15,6,18,0
