,season,week,awayteam,hometeam,awayscore,homescore,idgame,score_abs,winner_home,winner_away,winner_team,concat,home_coach,away_coach,location_x,weather_type,temperature,humidity,wind,game_date,team,delta_match,pass_yds_MA_5,pass_td_MA_5,rush_yds_MA_5,rush_td_MA_5,rec_yds_MA_5,rec_td_MA_5,fumbles_MA_5,fumbles_rec_MA_5,defense_sacks_MA_5,defense_td_MA_5,interceptions_MA_5,interceptions_td_MA_5,kicks_return_yds_MA_5,kicks_return_td_MA_5,punt_return_yds_MA_5,kicking_pct_MA_5,date,stade,location_y,attendance,capacity,people,attendance_info,month,dayofmonth,dayofweek,hour,minute,win_streak,lose_streak
144,2017,14,49ers,Texans,26,16,400951649,-10,0,1,49ers,2017_14_Texans_49ers,Bill O'Brien,Kyle Shanahan,Home,sunny,68,30,0,2017-12-10 18:00:00+00:00,49ers,7 days 00:00:00,252.2,0.8,107.4,0.6,252.2,0.8,0.8,0.4,1.6,0.0,0.6,0.0,22.4,0.0,16.2,90.0,2017-12-10 18:00:00+00:00,NRG Stadium,"Houston, TX",71802.0,71995,100.0,1,12,10,6,18,0,2.0,0.0
148,2017,16,Giants,Cardinals,0,23,400951682,23,1,0,Cardinals,2017_16_Cardinals_Giants,Bruce Arians,Steve Spagnuolo,Home,cloudy,71,14,3,2017-12-24 21:25:00+00:00,Cardinals,7 days 03:25:00,217.2,1.2,110.2,0.2,217.2,1.2,1.4,0.8,1.8,0.0,1.0,0.0,39.6,0.0,29.6,66.0,2017-12-24 21:25:00+00:00,State Farm Stadium,"Glendale, AZ",63850.0,65000,98.0,1,12,24,6,21,25,1.0,0.0
152,2017,16,Raiders,Eagles,10,19,400951719,9,1,0,Eagles,2017_16_Eagles_Raiders,Doug Pederson,Jack Del Rio,Home,cloudy,29,37,15,2017-12-26 01:30:00+00:00,Eagles,8 days 07:30:00,266.8,2.8,147.2,0.4,266.8,2.8,1.6,0.6,2.2,0.4,1.2,0.0,29.0,0.0,5.6,80.0,2017-12-26 01:30:00+00:00,Lincoln Financial Field,"Philadelphia, PA",69596.0,69879,100.0,1,12,26,1,1,30,3.0,0.0
156,2017,3,Raiders,Washington,10,27,400951644,17,1,0,Redskins,2017_03_Washington_Raiders,Jay Gruden,Jack Del Rio,Home,cloudy,76,75,0,2017-09-25 00:30:00+00:00,Raiders,7 days 04:25:00,,,,,,,,,,,,,,,,,2017-09-25 00:30:00+00:00,FedExField,"Landover, MD",77123.0,67617,100.0,1,9,25,0,0,30,0.0,1.0
158,2017,3,Chiefs,Chargers,24,10,400951634,-14,0,1,Chiefs,2017_03_Chargers_Chiefs,Anthony Lynn,Andy Reid,Home,sunny,84,25,5,2017-09-24 20:25:00+00:00,Chargers,7 days 00:20:00,,,,,,,,,,,,,,,,,2017-09-24 20:25:00+00:00,Dignity Health Sports Park,"Carson, CA",25386.0,27000,94.0,1,9,24,6,20,25,0.0,2.0
162,2017,3,Bengals,Packers,24,27,400951627,3,1,0,Packers,2017_03_Packers_Bengals,Mike McCarthy,Marvin Lewis,Home,sunny,89,44,8,2017-09-24 20:25:00+00:00,Bengals,9 days 20:00:00,,,,,,,,,,,,,,,,,2017-09-24 20:25:00+00:00,Lambeau Field,"Green Bay, WI",78323.0,81041,97.0,1,9,24,6,20,25,0.0,3.0
166,2017,3,Seahawks,Titans,27,33,400951623,6,1,0,Titans,2017_03_Titans_Seahawks,Mike Mularkey,Pete Carroll,Home,sunny,88,97,4,2017-09-24 20:05:00+00:00,Seahawks,6 days 23:40:00,,,,,,,,,,,,,,,,,2017-09-24 20:05:00+00:00,Nissan Stadium,"Nashville, TN",69127.0,69143,100.0,1,9,24,6,20,5,0.0,1.0
170,2017,3,Saints,Panthers,34,13,400951587,-21,0,1,Saints,2017_03_Panthers_Saints,Ron Rivera,Sean Payton,Home,sunny,82,59,6,2017-09-24 17:00:00+00:00,Panthers,7 days 00:00:00,,,,,,,,,,,,,,,,,2017-09-24 17:00:00+00:00,Bank of America Stadium,"Charlotte, NC",73775.0,73778,100.0,1,9,24,6,17,0,0.0,1.0
174,2017,3,Giants,Eagles,24,27,400951616,3,1,0,Eagles,2017_03_Eagles_Giants,Doug Pederson,Ben McAdoo,Home,sunny,89,48,6,2017-09-24 17:00:00+00:00,Eagles,7 days 00:00:00,,,,,,,,,,,,,,,,,2017-09-24 17:00:00+00:00,Lincoln Financial Field,"Philadelphia, PA",69596.0,69879,100.0,1,9,24,6,17,0,1.0,0.0
178,2017,3,Dolphins,Jets,6,20,400951611,14,1,0,Jets,2017_03_Jets_Dolphins,Todd Bowles,Adam Gase,Home,sunny,88,41,5,2017-09-24 17:00:00+00:00,Dolphins,6 days 20:55:00,,,,,,,,,,,,,,,,,2017-09-24 17:00:00+00:00,MetLife Stadium,"East Rutherford, NJ",77562.0,82500,94.0,1,9,24,6,17,0,0.0,1.0
182,2017,3,Texans,Patriots,33,36,400951607,3,1,0,Patriots,2017_03_Patriots_Texans,Bill Belichick,Bill O'Brien,Home,sunny,84,53,4,2017-09-24 17:00:00+00:00,Patriots,7 days 00:00:00,,,,,,,,,,,,,,,,,2017-09-24 17:00:00+00:00,Gillette Stadium,"Foxboro, MA",65878.0,65878,100.0,1,9,24,6,17,0,2.0,0.0
186,2017,3,Buccaneers,Vikings,17,34,400951604,17,1,0,Vikings,2017_03_Vikings_Buccaneers,Mike Zimmer,Dirk Koetter,Home,indoor,68,70,5,2017-09-24 17:00:00+00:00,Buccaneers,7 days 00:00:00,,,,,,,,,,,,,,,,,2017-09-24 17:00:00+00:00,U.S. Bank Stadium,"Minneapolis, MN",66390.0,66468,100.0,1,9,24,6,17,0,0.0,1.0
190,2017,3,Browns,Colts,28,31,400951599,3,1,0,Colts,2017_03_Colts_Browns,Chuck Pagano,Hue Jackson,Home,sunny,83,45,5,2017-09-24 17:00:00+00:00,Browns,7 days 00:00:00,,,,,,,,,,,,,,,,,2017-09-24 17:00:00+00:00,Lucas Oil Stadium,"Indianapolis, IN",63351.0,63000,100.0,1,9,24,6,17,0,0.0,3.0
194,2017,3,Falcons,Lions,30,26,400951594,-4,0,1,Falcons,2017_03_Lions_Falcons,Jim Caldwell,Dan Quinn,Home,indoor,68,70,5,2017-09-24 17:00:00+00:00,Falcons,6 days 16:30:00,,,,,,,,,,,,,,,,,2017-09-24 17:00:00+00:00,Ford Field,"Detroit, MI",63240.0,64500,98.0,1,9,24,6,17,0,3.0,0.0
198,2017,3,Steelers,Bears,17,23,400951590,6,1,0,Bears,2017_03_Bears_Steelers,John Fox,Mike Tomlin,Home,sunny,68,70,5,2017-09-24 17:00:00+00:00,Bears,7 days 00:00:00,,,,,,,,,,,,,,,,,2017-09-24 17:00:00+00:00,Soldier Field,"Chicago, IL",62172.0,61500,100.0,1,9,24,6,17,0,1.0,0.0
202,2017,3,Broncos,Bills,16,26,400951583,10,1,0,Bills,2017_03_Bills_Broncos,Sean McDermott,Vance Joseph,Home,sunny,83,56,5,2017-09-24 17:00:00+00:00,Bills,7 days 00:00:00,,,,,,,,,,,,,,,,,2017-09-24 17:00:00+00:00,Highmark Stadium,"Orchard Park, NY",68865.0,71621,96.0,1,9,24,6,17,0,1.0,0.0
206,2017,3,Ravens,Jaguars,7,44,400951579,37,1,0,Jaguars,2017_03_Jaguars_Ravens,Doug Marrone,John Harbaugh,Neutral,cloudy,7,51,10,2017-09-24 13:30:00+00:00,Jaguars,6 days 20:30:00,,,,,,,,,,,,,,,,,2017-09-24 13:30:00+00:00,Wembley Stadium,London,84592.0,86000,98.0,1,9,24,6,13,30,1.0,0.0
210,2017,3,Rams,49ers,41,39,400951568,-2,0,1,Rams,2017_03_49ers_Rams,Kyle Shanahan,Sean McVay,Home,sunny,68,42,13,2017-09-22 00:25:00+00:00,49ers,4 days 04:00:00,,,,,,,,,,,,,,,,,2017-09-22 00:25:00+00:00,Levi's Stadium,"Santa Clara, CA",70178.0,68500,100.0,1,9,22,4,0,25,0.0,3.0
214,2017,3,Cowboys,Cardinals,28,17,400951668,-11,0,1,Cowboys,2017_03_Cardinals_Cowboys,Bruce Arians,Jason Garrett,Home,indoor,68,70,5,2017-09-26 00:30:00+00:00,Cardinals,8 days 07:30:00,,,,,,,,,,,,,,,,,2017-09-26 00:30:00+00:00,State Farm Stadium,"Glendale, AZ",65102.0,65000,100.0,1,9,26,1,0,30,0.0,1.0
218,2017,10,Bengals,Titans,20,24,400951656,4,1,0,Titans,2017_10_Titans_Bengals,Mike Mularkey,Marvin Lewis,Home,cloudy,53,88,4,2017-11-12 18:00:00+00:00,Bengals,7 days 00:00:00,226.6,1.8,61.8,0.4,226.6,1.8,2.0,0.2,2.4,0.2,0.6,0.2,59.6,0.0,25.0,50.0,2017-11-12 18:00:00+00:00,Nissan Stadium,"Nashville, TN",67432.0,69143,98.0,1,11,12,6,18,0,0.0,2.0
222,2017,10,Browns,Lions,24,38,400951563,14,1,0,Lions,2017_10_Lions_Browns,Jim Caldwell,Hue Jackson,Home,indoor,68,70,5,2017-11-12 18:00:00+00:00,Browns,14 days 04:30:00,203.6,0.6,100.0,0.6,203.6,0.6,1.2,0.4,2.0,0.2,0.6,0.2,50.2,0.0,19.8,50.0,2017-11-12 18:00:00+00:00,Ford Field,"Detroit, MI",64646.0,64500,100.0,1,11,12,6,18,0,0.0,9.0
226,2017,10,Packers,Bears,23,16,400951559,-7,0,1,Packers,2017_10_Bears_Packers,John Fox,Mike McCarthy,Home,rain,68,39,5,2017-11-12 18:00:00+00:00,Bears,14 days 01:00:00,157.8,1.0,134.8,0.4,157.8,1.0,1.4,0.8,3.2,0.6,0.8,0.4,52.0,0.0,17.2,43.34,2017-11-12 18:00:00+00:00,Soldier Field,"Chicago, IL",61285.0,61500,100.0,1,11,12,6,18,0,0.0,2.0
