,season,week,awayteam,hometeam,awayscore,homescore,idgame,score_abs,winner_home,winner_away,winner_team,concat,home_coach,away_coach,location_x,weather_type,temperature,humidity,wind,game_date,team,delta_match,pass_yds_MA_5,pass_td_MA_5,rush_yds_MA_5,rush_td_MA_5,rec_yds_MA_5,rec_td_MA_5,fumbles_MA_5,fumbles_rec_MA_5,defense_sacks_MA_5,defense_td_MA_5,interceptions_MA_5,interceptions_td_MA_5,kicks_return_yds_MA_5,kicks_return_td_MA_5,punt_return_yds_MA_5,kicking_pct_MA_5,date,stade,location_y,attendance,capacity,people,attendance_info,month,dayofmonth,dayofweek,hour,minute,win_streak,lose_streak
2961,2020,15,Jaguars,Ravens,14,40,401220149,26,1,0,Ravens,2020_15_Ravens_Jaguars,John Harbaugh,Doug Marrone,Home,cloudy,39,78,3,2020-12-20 18:00:00+00:00,Jaguars,7 days 00:00:00,219.6,1.0,107.4,0.4,219.6,1.0,0.8,0.8,1.6,0.2,0.6,0.2,16.2,0.0,28.4,73.34,2020-12-20 18:00:00+00:00,M&T Bank Stadium,"Baltimore, MD",,70745,,0,12,20,6,18,0,0.0,13.0
2965,2020,15,Chargers,Raiders,30,27,401220228,-3,0,1,Chargers,2020_15_Raiders_Chargers,Jon Gruden,Anthony Lynn,Home,cloudy,68,57,5,2020-12-18 01:20:00+00:00,Chargers,4 days 03:55:00,264.2,1.6,75.8,0.4,264.2,1.6,1.0,0.6,1.4,0.2,1.0,0.2,80.8,0.0,1.2,60.0,2020-12-18 01:20:00+00:00,Allegiant Stadium,"Las Vegas, NV",,65000,,0,12,18,4,1,20,2.0,0.0
2969,2020,15,Steelers,Bengals,17,27,401220156,10,1,0,Bengals,2020_15_Bengals_Steelers,Zac Taylor,Mike Tomlin,Home,cloudy,43,63,10,2020-12-22 01:15:00+00:00,Bengals,8 days 07:15:00,199.4,1.0,78.0,0.0,199.4,1.0,1.6,0.4,0.8,0.0,0.2,0.0,59.6,0.2,17.8,46.66,2020-12-22 01:15:00+00:00,Paycor Stadium,"Cincinnati, OH",10249.0,65515,16.0,1,12,22,1,1,15,1.0,0.0
2973,2020,15,Browns,Giants,20,6,401220255,-14,0,1,Browns,2020_15_Giants_Browns,Joe Judge,Kevin Stefanski,Home,cloudy,36,82,0,2020-12-21 01:20:00+00:00,Browns,6 days 00:05:00,257.8,1.6,166.2,1.6,257.8,1.6,2.4,0.8,2.8,0.2,0.6,0.2,36.0,0.0,8.6,73.4,2020-12-21 01:20:00+00:00,MetLife Stadium,"East Rutherford, NJ",,82500,,0,12,21,0,1,20,1.0,0.0
2977,2020,15,Chiefs,Saints,32,29,401220325,-3,0,1,Chiefs,2020_15_Saints_Chiefs,Sean Payton,Andy Reid,Home,fair,6,76,5,2020-12-20 21:25:00+00:00,Chiefs,7 days 03:25:00,379.4,2.4,91.8,0.8,379.4,2.4,0.8,0.0,1.4,0.0,1.2,0.0,16.4,0.0,19.6,73.34,2020-12-20 21:25:00+00:00,Caesars Superdome,"New Orleans, LA",3000.0,73000,4.0,1,12,20,6,21,25,9.0,0.0
2981,2020,15,Jets,Rams,23,20,401220350,-3,0,1,Jets,2020_15_Rams_Jets,Sean McVay,Adam Gase,Home,cloudy,77,15,1,2020-12-20 21:05:00+00:00,Jets,7 days 00:00:00,196.4,1.4,104.6,0.8,196.4,1.4,0.6,0.8,2.0,0.0,0.4,0.0,74.6,0.0,5.4,35.0,2020-12-20 21:05:00+00:00,SoFi Stadium,"Inglewood, CA",,71500,,0,12,20,6,21,5,1.0,0.0
2985,2020,16,Bills,Patriots,38,9,401220130,-29,0,1,Bills,2020_16_Patriots_Bills,Bill Belichick,Sean McDermott,Home,cloudy,41,90,4,2020-12-29 01:15:00+00:00,Bills,9 days 03:45:00,289.0,2.6,122.4,0.8,289.0,2.6,2.0,0.4,2.0,0.4,1.2,0.2,87.2,0.0,16.0,100.0,2020-12-29 01:15:00+00:00,Gillette Stadium,"Foxboro, MA",,65878,,0,12,29,1,1,15,5.0,0.0
2989,2020,15,Seahawks,Washington,20,15,401220270,-5,0,1,Seahawks,2020_15_Washington_Seahawks,Ron Rivera,Pete Carroll,Home,cloudy,43,69,8,2020-12-20 18:00:00+00:00,Seahawks,6 days 20:55:00,235.4,1.6,127.8,0.8,235.4,1.6,1.4,0.4,3.4,0.0,0.4,0.0,58.0,0.0,12.8,100.0,2020-12-20 18:00:00+00:00,FedExField,"Landover, MD",,67617,,0,12,20,6,18,0,2.0,0.0
2993,2020,14,Patriots,Rams,3,24,401220349,21,1,0,Rams,2020_14_Rams_Patriots,Sean McVay,Bill Belichick,Home,cloudy,6,61,7,2020-12-11 01:20:00+00:00,Patriots,4 days 03:55:00,199.0,1.0,138.6,1.8,199.0,1.0,0.6,0.0,1.6,0.0,1.0,0.0,37.4,0.0,43.0,100.0,2020-12-11 01:20:00+00:00,SoFi Stadium,"Inglewood, CA",,71500,,0,12,11,4,1,20,0.0,1.0
2997,2020,15,Bears,Vikings,33,27,401220298,-6,0,1,Bears,2020_15_Vikings_Bears,Mike Zimmer,Matt Nagy,Home,indoor,34,70,8,2020-12-20 18:00:00+00:00,Bears,7 days 00:00:00,247.0,1.8,105.4,0.8,247.0,1.8,2.0,0.6,2.6,0.0,0.4,0.0,72.0,0.2,23.4,100.0,2020-12-20 18:00:00+00:00,U.S. Bank Stadium,"Minneapolis, MN",,66468,,0,12,20,6,18,0,2.0,0.0
3001,2020,15,Texans,Colts,20,27,401220186,7,1,0,Colts,2020_15_Colts_Texans,Frank Reich,Romeo Crennel,Home,cloudy,37,79,5,2020-12-20 18:00:00+00:00,Colts,6 days 20:55:00,284.0,2.0,130.0,1.4,284.0,2.0,0.2,1.0,1.6,0.2,0.8,0.2,68.8,0.0,6.6,76.0,2020-12-20 18:00:00+00:00,Lucas Oil Stadium,"Indianapolis, IN",9992.0,63000,16.0,1,12,20,6,18,0,3.0,0.0
3005,2020,15,Lions,Titans,25,46,401220208,21,1,0,Titans,2020_15_Titans_Lions,Mike Vrabel,Darrell Bevell,Home,cloudy,46,86,5,2020-12-20 18:00:00+00:00,Lions,6 days 20:35:00,284.8,1.6,73.0,1.2,284.8,1.6,0.8,0.6,1.4,0.0,0.4,0.0,51.2,0.0,8.4,60.0,2020-12-20 18:00:00+00:00,Nissan Stadium,"Nashville, TN",13797.0,69143,20.0,1,12,20,6,18,0,0.0,2.0
3009,2020,15,49ers,Cowboys,33,41,401220246,8,1,0,Cowboys,2020_15_Cowboys_49ers,Mike McCarthy,Kyle Shanahan,Home,cloudy,57,47,6,2020-12-20 18:00:00+00:00,49ers,6 days 20:35:00,273.2,1.2,82.0,0.6,273.2,1.2,1.6,1.0,1.8,0.2,0.6,0.2,32.4,0.0,14.2,75.0,2020-12-20 18:00:00+00:00,AT&T Stadium,"Arlington, TX",30092.0,100000,30.0,1,12,20,6,18,0,0.0,3.0
3013,2020,15,Buccaneers,Falcons,31,27,401220308,-4,0,1,Buccaneers,2020_15_Falcons_Buccaneers,Raheem Morris,Bruce Arians,Home,indoor,72,66,3,2020-12-20 18:00:00+00:00,Buccaneers,7 days 00:00:00,261.4,2.0,88.4,0.8,261.4,2.0,0.2,0.8,2.4,0.0,0.6,0.0,15.2,0.0,5.2,100.0,2020-12-20 18:00:00+00:00,Mercedes-Benz Stadium,"Atlanta, GA",10703.0,75000,14.0,1,12,20,6,18,0,2.0,0.0
3017,2020,15,Panthers,Packers,16,24,401220294,8,1,0,Packers,2020_15_Packers_Panthers,Matt LaFleur,Matt Rhule,Home,cloudy,33,85,5,2020-12-20 01:15:00+00:00,Packers,6 days 03:50:00,286.4,3.0,119.4,1.0,286.4,3.0,1.2,0.4,3.6,0.2,1.0,0.0,55.8,0.0,1.8,80.0,2020-12-20 01:15:00+00:00,Lambeau Field,"Green Bay, WI",,81041,,0,12,20,6,1,15,4.0,0.0
3021,2020,15,Bills,Broncos,48,19,401220213,-29,0,1,Bills,2020_15_Broncos_Bills,Vic Fangio,Sean McDermott,Home,sunny,47,22,24,2020-12-19 21:30:00+00:00,Bills,5 days 20:10:00,300.2,2.8,92.8,0.6,300.2,2.8,1.6,0.6,2.4,0.2,1.6,0.2,82.8,0.0,16.8,95.0,2020-12-19 21:30:00+00:00,Empower Field at Mile High,"Denver, CO",,76125,,0,12,19,5,21,30,4.0,0.0
3025,2020,15,Patriots,Dolphins,12,22,401220123,10,1,0,Dolphins,2020_15_Dolphins_Patriots,Brian Flores,Bill Belichick,Home,cloudy,79,65,9,2020-12-20 18:00:00+00:00,Dolphins,7 days 00:00:00,247.6,1.6,92.2,0.4,247.6,1.6,1.8,0.4,2.8,0.0,1.8,0.0,0.0,0.0,19.6,88.34,2020-12-20 18:00:00+00:00,Hard Rock Stadium,"Miami Gardens, FL",13354.0,64767,21.0,1,12,20,6,18,0,1.0,0.0
3029,2020,16,Titans,Packers,14,40,401220296,26,1,0,Packers,2020_16_Packers_Titans,Matt LaFleur,Mike Vrabel,Home,snow,28,88,15,2020-12-28 01:20:00+00:00,Packers,8 days 00:05:00,250.0,2.8,142.4,1.2,250.0,2.8,0.8,0.6,3.6,0.2,0.8,0.0,53.2,0.0,1.4,80.0,2020-12-28 01:20:00+00:00,Lambeau Field,"Green Bay, WI",,81041,,0,12,28,0,1,20,5.0,0.0
3033,2020,16,Colts,Steelers,24,28,401220174,4,1,0,Steelers,2020_16_Steelers_Colts,Mike Tomlin,Frank Reich,Home,sunny,37,65,6,2020-12-27 18:00:00+00:00,Colts,7 days 00:00:00,268.0,2.2,128.8,1.2,268.0,2.2,0.2,1.4,2.4,0.2,0.8,0.2,59.2,0.0,9.2,76.0,2020-12-27 18:00:00+00:00,Acrisure Stadium,"Pittsburgh, PA",,68400,,0,12,27,6,18,0,0.0,1.0
3037,2020,16,Eagles,Cowboys,17,37,401220243,20,1,0,Cowboys,2020_16_Cowboys_Eagles,Mike McCarthy,Doug Pederson,Home,cloudy,73,20,10,2020-12-27 21:25:00+00:00,Cowboys,7 days 03:25:00,221.8,2.0,107.8,0.6,221.8,2.0,0.2,1.4,1.8,0.4,0.8,0.0,74.8,0.2,16.6,78.34,2020-12-27 21:25:00+00:00,AT&T Stadium,"Arlington, TX",30131.0,100000,30.0,1,12,27,6,21,25,3.0,0.0
3041,2020,16,49ers,Cardinals,20,12,401220337,-8,0,1,49ers,2020_16_Cardinals_49ers,Kliff Kingsbury,Kyle Shanahan,Home,cloudy,69,14,4,2020-12-26 21:30:00+00:00,49ers,6 days 03:30:00,278.8,1.6,101.0,0.6,278.8,1.6,1.8,1.0,2.0,0.2,0.6,0.2,10.0,0.0,16.2,75.0,2020-12-26 21:30:00+00:00,State Farm Stadium,"Glendale, AZ",,65000,,0,12,26,5,21,30,1.0,0.0
3045,2020,16,Dolphins,Raiders,26,25,401220230,-1,0,1,Dolphins,2020_16_Raiders_Dolphins,Jon Gruden,Brian Flores,Home,cloudy,52,14,2,2020-12-27 01:15:00+00:00,Dolphins,6 days 07:15:00,242.8,1.2,120.0,0.8,242.8,1.2,1.4,0.6,3.0,0.0,1.6,0.0,9.0,0.0,8.2,73.34,2020-12-27 01:15:00+00:00,Allegiant Stadium,"Las Vegas, NV",,65000,,0,12,27,6,1,15,2.0,0.0
3049,2020,14,Ravens,Browns,47,42,401220162,-5,0,1,Ravens,2020_14_Browns_Ravens,Kevin Stefanski,John Harbaugh,Home,cloudy,34,51,18,2020-12-15 01:15:00+00:00,Browns,8 days 07:15:00,211.2,1.2,158.8,0.8,211.2,1.2,1.2,0.8,2.4,0.2,0.6,0.2,39.4,0.0,7.6,86.74000000000001,2020-12-15 01:15:00+00:00,FirstEnergy Stadium,"Cleveland, OH",11974.0,67431,18.0,1,12,15,1,1,15,0.0,1.0
3053,2020,14,Steelers,Bills,15,26,401220121,11,1,0,Bills,2020_14_Bills_Steelers,Sean McDermott,Mike Tomlin,Home,cloudy,35,71,11,2020-12-14 01:20:00+00:00,Bills,6 days 00:05:00,283.4,2.4,110.0,1.2,283.4,2.4,1.0,0.8,2.6,0.0,1.2,0.0,73.8,0.0,13.8,95.0,2020-12-14 01:20:00+00:00,Highmark Stadium,"Orchard Park, NY",,71621,,0,12,14,0,1,20,3.0,0.0
3057,2020,14,Washington,49ers,23,15,401220356,-8,0,1,Washington,2020_14_49ers_Washington,Kyle Shanahan,Ron Rivera,Neutral,cloudy,68,70,5,2020-12-13 21:25:00+00:00,49ers,5 days 20:10:00,285.6,1.4,70.8,0.8,285.6,1.4,1.8,1.0,1.8,0.2,0.4,0.2,47.2,0.0,15.2,75.0,2020-12-13 21:25:00+00:00,State Farm Stadium,"Glendale, AZ",,65000,,0,12,13,6,21,25,0.0,2.0
3061,2020,14,Falcons,Chargers,17,20,401220239,3,1,0,Chargers,2020_14_Chargers_Falcons,Anthony Lynn,Raheem Morris,Home,sunny,7,19,2,2020-12-13 21:25:00+00:00,Chargers,7 days 00:00:00,280.8,1.6,80.4,0.6,280.8,1.6,1.0,0.8,1.2,0.2,0.4,0.2,73.0,0.0,1.0,53.34,2020-12-13 21:25:00+00:00,SoFi Stadium,"Inglewood, CA",,71500,,0,12,13,6,21,25,1.0,0.0
3065,2020,14,Saints,Eagles,21,24,401220265,3,1,0,Eagles,2020_14_Eagles_Saints,Doug Pederson,Sean Payton,Home,cloudy,57,49,10,2020-12-13 21:25:00+00:00,Eagles,7 days 00:00:00,196.8,1.4,113.6,0.4,196.8,1.4,2.0,0.8,2.8,0.2,0.0,0.0,58.2,0.0,26.0,80.0,2020-12-13 21:25:00+00:00,Lincoln Financial Field,"Philadelphia, PA",,69879,,0,12,13,6,21,25,1.0,0.0
3069,2020,14,Packers,Lions,31,24,401220283,-7,0,1,Packers,2020_14_Lions_Packers,Darrell Bevell,Matt LaFleur,Home,indoor,68,70,5,2020-12-13 21:25:00+00:00,Lions,7 days 03:25:00,291.2,1.8,88.6,0.8,291.2,1.8,1.0,0.6,1.6,0.0,0.4,0.0,37.0,0.0,15.0,53.34,2020-12-13 21:25:00+00:00,Ford Field,"Detroit, MI",,64500,,0,12,13,6,21,25,0.0,1.0
3073,2020,14,Jets,Seahawks,3,40,401220366,37,1,0,Seahawks,2020_14_Seahawks_Jets,Pete Carroll,Adam Gase,Home,cloudy,43,90,8,2020-12-13 21:05:00+00:00,Jets,7 days 03:05:00,196.6,1.4,109.4,0.8,196.6,1.4,0.6,0.8,1.8,0.0,0.2,0.0,55.8,0.0,3.2,45.0,2020-12-13 21:05:00+00:00,Lumen Field,"Seattle, WA",,68740,,0,12,13,6,21,5,0.0,13.0
3077,2020,13,Giants,Seahawks,17,12,401220364,-5,0,1,Giants,2020_13_Seahawks_Giants,Pete Carroll,Joe Judge,Home,cloudy,51,83,4,2020-12-06 21:05:00+00:00,Giants,7 days 03:05:00,232.2,1.0,144.0,1.4,232.2,1.0,1.0,1.0,2.2,0.0,1.0,0.0,50.0,0.0,18.2,80.0,2020-12-06 21:05:00+00:00,Lumen Field,"Seattle, WA",,68740,,0,12,6,6,21,5,4.0,0.0
3081,2020,13,Rams,Cardinals,38,28,401220336,-10,0,1,Rams,2020_13_Cardinals_Rams,Kliff Kingsbury,Sean McVay,Home,sunny,71,12,2,2020-12-06 21:05:00+00:00,Cardinals,7 days 03:05:00,265.4,1.8,149.8,1.4,265.4,1.8,1.2,0.0,2.2,0.0,1.4,0.0,41.6,0.0,7.2,55.0,2020-12-06 21:05:00+00:00,State Farm Stadium,"Glendale, AZ",,65000,,0,12,6,6,21,5,0.0,3.0
3085,2020,13,Colts,Texans,26,20,401220178,-6,0,1,Colts,2020_13_Texans_Colts,Romeo Crennel,Frank Reich,Home,sunny,57,76,6,2020-12-06 18:00:00+00:00,Colts,7 days 00:00:00,276.0,1.8,112.0,1.4,276.0,1.8,0.8,1.0,2.0,0.2,0.4,0.2,78.6,0.0,8.4,56.0,2020-12-06 18:00:00+00:00,NRG Stadium,"Houston, TX",12316.0,71995,17.0,1,12,6,6,18,0,1.0,0.0
3089,2020,16,Buccaneers,Lions,47,7,401220286,-40,0,1,Buccaneers,2020_16_Lions_Buccaneers,Darrell Bevell,Bruce Arians,Home,indoor,68,78,5,2020-12-26 18:00:00+00:00,Buccaneers,6 days 00:00:00,297.6,2.4,97.0,1.2,297.6,2.4,0.4,0.4,2.8,0.0,0.6,0.0,19.4,0.0,11.4,100.0,2020-12-26 18:00:00+00:00,Ford Field,"Detroit, MI",,64500,,0,12,26,5,18,0,3.0,0.0
3093,2020,13,Raiders,Jets,31,28,401220142,-3,0,1,Raiders,2020_13_Jets_Raiders,Adam Gase,Jon Gruden,Home,sunny,39,46,18,2020-12-06 18:00:00+00:00,Jets,7 days 00:00:00,183.4,1.0,88.2,0.6,183.4,1.0,0.4,0.8,1.8,0.0,0.0,0.0,57.4,0.0,3.2,65.0,2020-12-06 18:00:00+00:00,MetLife Stadium,"East Rutherford, NJ",,82500,,0,12,6,6,18,0,0.0,12.0
3097,2020,14,Colts,Raiders,44,27,401220233,-17,0,1,Colts,2020_14_Raiders_Colts,Jon Gruden,Frank Reich,Home,sunny,48,21,6,2020-12-13 21:05:00+00:00,Colts,7 days 03:05:00,280.6,1.6,110.0,1.2,280.6,1.6,0.6,1.0,2.0,0.0,0.4,0.0,77.6,0.0,10.4,76.0,2020-12-13 21:05:00+00:00,Allegiant Stadium,"Las Vegas, NV",,65000,,0,12,13,6,21,5,2.0,0.0
3101,2020,13,Saints,Falcons,21,16,401220307,-5,0,1,Saints,2020_13_Falcons_Saints,Raheem Morris,Sean Payton,Home,indoor,52,61,4,2020-12-06 18:00:00+00:00,Falcons,7 days 00:00:00,264.0,1.2,93.2,1.2,264.0,1.2,0.4,1.0,2.8,0.2,0.6,0.2,22.4,0.0,3.4,80.0,2020-12-06 18:00:00+00:00,Mercedes-Benz Stadium,"Atlanta, GA",8713.0,75000,12.0,1,12,6,6,18,0,0.0,1.0
3105,2020,13,Lions,Bears,34,30,401220274,-4,0,1,Lions,2020_13_Bears_Lions,Matt Nagy,Darrell Bevell,Home,cloudy,35,80,5,2020-12-06 18:00:00+00:00,Bears,6 days 16:40:00,246.8,1.4,72.6,0.0,246.8,1.4,1.8,0.4,1.2,0.2,0.2,0.0,84.8,0.2,25.0,100.0,2020-12-06 18:00:00+00:00,Soldier Field,"Chicago, IL",,61500,,0,12,6,6,18,0,0.0,6.0
3109,2020,13,Browns,Titans,41,35,401220205,-6,0,1,Browns,2020_13_Titans_Browns,Mike Vrabel,Kevin Stefanski,Home,sunny,52,68,1,2020-12-06 18:00:00+00:00,Browns,7 days 00:00:00,206.4,1.4,151.6,0.6,206.4,1.4,1.0,0.6,2.6,0.2,0.6,0.2,48.0,0.0,7.4,86.74000000000001,2020-12-06 18:00:00+00:00,Nissan Stadium,"Nashville, TN",13986.0,69143,20.0,1,12,6,6,18,0,4.0,0.0
3113,2020,13,Bengals,Dolphins,7,19,401220129,12,1,0,Dolphins,2020_13_Dolphins_Bengals,Brian Flores,Zac Taylor,Home,cloudy,81,64,5,2020-12-06 18:00:00+00:00,Bengals,7 days 00:00:00,250.6,1.6,89.6,0.6,250.6,1.6,1.8,0.2,0.6,0.0,0.6,0.0,79.8,0.2,17.4,86.66,2020-12-06 18:00:00+00:00,Hard Rock Stadium,"Miami Gardens, FL",12577.0,64767,19.0,1,12,6,6,18,0,0.0,4.0
3117,2020,14,Titans,Jaguars,31,10,401220196,-21,0,1,Titans,2020_14_Jaguars_Titans,Doug Marrone,Mike Vrabel,Home,cloudy,69,83,2,2020-12-13 18:00:00+00:00,Jaguars,7 days 00:00:00,227.8,1.0,112.2,0.8,227.8,1.0,1.0,0.8,1.8,0.2,0.6,0.2,31.8,0.0,29.0,83.34,2020-12-13 18:00:00+00:00,TIAA Bank Field,"Jacksonville, FL",15896.0,67858,23.0,1,12,13,6,18,0,0.0,12.0
3121,2020,14,Broncos,Panthers,32,27,401220319,-5,0,1,Broncos,2020_14_Panthers_Broncos,Matt Rhule,Vic Fangio,Home,cloudy,7,67,7,2020-12-13 18:00:00+00:00,Broncos,6 days 16:40:00,200.8,1.0,127.4,0.6,200.8,1.0,1.2,0.0,2.4,0.0,0.6,0.0,60.2,0.0,3.2,90.0,2020-12-13 18:00:00+00:00,Bank of America Stadium,"Charlotte, NC",5768.0,73778,8.0,1,12,13,6,18,0,1.0,0.0
3125,2020,14,Vikings,Buccaneers,14,26,401220332,12,1,0,Buccaneers,2020_14_Buccaneers_Vikings,Bruce Arians,Mike Zimmer,Home,cloudy,78,63,5,2020-12-13 18:00:00+00:00,Buccaneers,13 days 20:35:00,278.0,2.0,83.2,0.6,278.0,2.0,0.6,0.6,1.8,0.0,1.0,0.0,33.6,0.0,4.4,100.0,2020-12-13 18:00:00+00:00,Raymond James Stadium,"Tampa, FL",16031.0,65828,24.0,1,12,13,6,18,0,1.0,0.0
3129,2020,14,Cardinals,Giants,26,7,401220253,-19,0,1,Cardinals,2020_14_Giants_Cardinals,Joe Judge,Kliff Kingsbury,Home,fair,59,58,15,2020-12-13 18:00:00+00:00,Cardinals,6 days 20:55:00,228.0,1.8,136.4,1.4,228.0,1.8,1.0,0.2,2.0,0.0,0.8,0.0,48.2,0.0,5.2,40.0,2020-12-13 18:00:00+00:00,MetLife Stadium,"East Rutherford, NJ",,82500,,0,12,13,6,18,0,1.0,0.0
3133,2020,14,Chiefs,Dolphins,33,27,401220125,-6,0,1,Chiefs,2020_14_Dolphins_Chiefs,Brian Flores,Andy Reid,Home,sunny,81,56,8,2020-12-13 18:00:00+00:00,Chiefs,6 days 16:40:00,390.0,3.0,83.0,0.6,390.0,3.0,0.8,0.2,0.8,0.0,1.0,0.0,29.0,0.0,9.0,53.34,2020-12-13 18:00:00+00:00,Hard Rock Stadium,"Miami Gardens, FL",13057.0,64767,20.0,1,12,13,6,18,0,8.0,0.0
3137,2020,14,Cowboys,Bengals,30,7,401220159,-23,0,1,Cowboys,2020_14_Bengals_Cowboys,Zac Taylor,Mike McCarthy,Home,cloudy,44,73,5,2020-12-13 18:00:00+00:00,Bengals,7 days 00:00:00,204.8,1.2,81.4,0.4,204.8,1.2,1.2,0.4,0.6,0.0,0.4,0.0,69.6,0.2,17.8,66.66,2020-12-13 18:00:00+00:00,Paycor Stadium,"Cincinnati, OH",10322.0,65515,16.0,1,12,13,6,18,0,0.0,5.0
3141,2020,14,Texans,Bears,7,36,401220279,29,1,0,Bears,2020_14_Bears_Texans,Matt Nagy,Romeo Crennel,Home,cloudy,34,70,1,2020-12-13 18:00:00+00:00,Bears,7 days 00:00:00,248.0,1.6,90.8,0.6,248.0,1.6,2.0,0.2,1.4,0.0,0.4,0.0,79.4,0.2,26.0,100.0,2020-12-13 18:00:00+00:00,Soldier Field,"Chicago, IL",,61500,,0,12,13,6,18,0,1.0,0.0
3145,2020,13,Jaguars,Vikings,24,27,401220303,3,1,0,Vikings,2020_13_Vikings_Jaguars,Mike Zimmer,Doug Marrone,Home,indoor,36,76,7,2020-12-06 18:00:00+00:00,Jaguars,7 days 00:00:00,206.4,1.2,115.4,0.8,206.4,1.2,0.8,0.6,1.2,0.0,0.4,0.0,49.6,0.0,33.6,73.34,2020-12-06 18:00:00+00:00,U.S. Bank Stadium,"Minneapolis, MN",,66468,,0,12,6,6,18,0,0.0,11.0
3149,2020,17,Dolphins,Bills,26,56,401220114,30,1,0,Bills,2020_17_Bills_Dolphins,Sean McDermott,Brian Flores,Home,cloudy,35,93,1,2021-01-03 18:00:00+00:00,Bills,5 days 16:45:00,298.6,2.8,133.8,1.0,298.6,2.8,2.0,0.2,2.0,0.4,1.0,0.2,76.0,0.0,19.0,100.0,2021-01-03 18:00:00+00:00,Highmark Stadium,"Orchard Park, NY",,71621,,0,1,3,6,18,0,6.0,0.0
3153,2020,17,Ravens,Bengals,38,3,401220154,-35,0,1,Ravens,2020_17_Bengals_Ravens,Zac Taylor,John Harbaugh,Home,cloudy,39,79,10,2021-01-03 18:00:00+00:00,Bengals,7 days 00:00:00,202.2,1.2,100.4,0.8,202.2,1.2,1.0,1.0,0.8,0.0,0.2,0.0,51.8,0.2,16.2,48.34,2021-01-03 18:00:00+00:00,Paycor Stadium,"Cincinnati, OH",10499.0,65515,16.0,1,1,3,6,18,0,0.0,1.0
3157,2020,17,Steelers,Browns,22,24,401220164,2,1,0,Browns,2020_17_Browns_Steelers,Kevin Stefanski,Mike Tomlin,Home,cloudy,38,91,7,2021-01-03 18:00:00+00:00,Browns,7 days 00:00:00,307.0,2.0,122.8,1.8,307.0,2.0,2.6,0.4,2.0,0.0,0.2,0.0,43.0,0.0,5.8,60.0,2021-01-03 18:00:00+00:00,FirstEnergy Stadium,"Cleveland, OH",11989.0,67431,18.0,1,1,3,6,18,0,1.0,0.0
3161,2020,16,Panthers,Washington,20,13,401220273,-7,0,1,Panthers,2020_16_Washington_Panthers,Ron Rivera,Matt Rhule,Home,sunny,41,46,6,2020-12-27 21:05:00+00:00,Panthers,7 days 19:50:00,242.8,0.8,105.6,1.2,242.8,0.8,0.8,1.2,2.8,0.4,0.0,0.0,49.6,0.0,12.2,90.0,2020-12-27 21:05:00+00:00,FedExField,"Landover, MD",,67617,,0,12,27,6,21,5,1.0,0.0
3165,2020,16,Broncos,Chargers,16,19,401220234,3,1,0,Chargers,2020_16_Chargers_Broncos,Anthony Lynn,Vic Fangio,Home,cloudy,61,65,2,2020-12-27 21:05:00+00:00,Broncos,7 days 23:35:00,169.2,1.4,140.8,0.8,169.2,1.4,1.2,0.2,3.0,0.0,0.4,0.0,20.8,0.0,18.2,50.0,2020-12-27 21:05:00+00:00,SoFi Stadium,"Inglewood, CA",,71500,,0,12,27,6,21,5,0.0,2.0
3169,2020,16,Bengals,Texans,37,31,401220182,-6,0,1,Bengals,2020_16_Texans_Bengals,Romeo Crennel,Zac Taylor,Home,sunny,7,80,12,2020-12-27 18:00:00+00:00,Bengals,5 days 16:45:00,174.6,1.0,80.6,0.4,174.6,1.0,1.2,0.8,1.0,0.0,0.4,0.0,47.0,0.2,18.6,40.0,2020-12-27 18:00:00+00:00,NRG Stadium,"Houston, TX",12344.0,71995,17.0,1,12,27,6,18,0,2.0,0.0
3173,2020,16,Giants,Ravens,13,27,401220152,14,1,0,Ravens,2020_16_Ravens_Giants,John Harbaugh,Joe Judge,Home,sunny,38,48,3,2020-12-27 18:00:00+00:00,Giants,6 days 16:40:00,191.8,0.2,127.0,1.2,191.8,0.2,1.4,0.6,2.2,0.0,0.4,0.0,50.8,0.0,13.4,80.0,2020-12-27 18:00:00+00:00,M&T Bank Stadium,"Baltimore, MD",,70745,,0,12,27,6,18,0,0.0,3.0
3177,2020,16,Bears,Jaguars,41,17,401220199,-24,0,1,Bears,2020_16_Jaguars_Bears,Doug Marrone,Matt Nagy,Home,cloudy,55,60,5,2020-12-27 18:00:00+00:00,Bears,7 days 00:00:00,220.4,1.6,134.0,1.2,220.4,1.6,1.4,0.6,2.6,0.0,0.6,0.0,75.2,0.2,10.8,100.0,2020-12-27 18:00:00+00:00,TIAA Bank Field,"Jacksonville, FL",17445.0,67858,26.0,1,12,27,6,18,0,3.0,0.0
3181,2020,16,Browns,Jets,16,23,401220145,7,1,0,Jets,2020_16_Jets_Browns,Adam Gase,Kevin Stefanski,Home,sunny,37,42,5,2020-12-27 18:00:00+00:00,Browns,6 days 16:40:00,290.8,2.0,141.2,1.6,290.8,2.0,2.4,0.8,2.6,0.2,0.6,0.2,41.2,0.0,7.6,53.4,2020-12-27 18:00:00+00:00,MetLife Stadium,"East Rutherford, NJ",,82500,,0,12,27,6,18,0,0.0,1.0
